UserID,SessionID,Timestamp,ListingID,PropertyType,Location,Bedrooms,Bathrooms,Price,Area,Viewed,TimeSpent,Views,ContactClicked,Liked,Shared
user_1,session_5,16-06-24 09:29,1486,Villa,Palm Jumeirah,2,3,970000,490,FALSE,0,0,FALSE,,
user_14,session_22,18-05-24 22:51,1620,Apartment,Business Bay,4,3,2000000,697,TRUE,192,2,TRUE,,
user_17,session_1,13-06-24 14:30,1197,Villa,Dubai Hills Estate,2,2,2000000,1200,FALSE,0,0,FALSE,,
user_3,session_35,07-03-24 00:37,1775,Villa,Downtown Dubai,4,2,2000000,400,FALSE,0,0,FALSE,,
user_11,session_10,12-01-24 05:59,1514,Townhouse,JLT,3,1,1600000,697,FALSE,0,0,FALSE,,
user_2,session_42,08-01-24 20:11,1935,Apartment,Palm Jumeirah,3,1,2000000,850,FALSE,0,0,FALSE,,
user_16,session_20,12-05-24 23:21,1498,Townhouse,Business Bay,4,2,1600000,850,TRUE,65,2,TRUE,,
user_1,session_4,23-05-24 14:09,1451,Apartment,Dubai Hills Estate,2,2,3000000,697,TRUE,390,2,TRUE,,
user_10,session_14,25-03-24 20:07,1542,Townhouse,Palm Jumeirah,4,1,1100000,697,FALSE,0,0,FALSE,,
user_14,session_18,09-04-24 11:18,1225,Villa,Dubai Hills Estate,1,4,1100000,1200,FALSE,0,0,FALSE,,
user_16,session_38,19-06-24 08:18,1335,Villa,Dubai Hills Estate,1,2,970000,400,FALSE,0,0,FALSE,,
user_3,session_37,01-03-24 22:00,1545,Villa,Dubai Hills Estate,4,3,1600000,490,TRUE,534,4,TRUE,,
user_7,session_23,10-03-24 15:45,1226,Apartment,JLT,3,2,3000000,850,FALSE,0,0,FALSE,,
user_12,session_6,20-02-24 06:43,1831,Townhouse,Business Bay,4,4,970000,697,FALSE,0,0,FALSE,,
user_2,session_22,01-03-24 16:15,1905,Apartment,Dubai Hills Estate,2,1,1600000,1200,TRUE,526,1,FALSE,,
user_2,session_12,03-04-24 05:36,1289,Villa,Downtown Dubai,3,4,970000,400,TRUE,568,4,FALSE,,
user_2,session_9,24-02-24 14:35,1337,Apartment,Dubai Hills Estate,2,2,1100000,400,TRUE,365,4,FALSE,,
user_14,session_41,17-03-24 05:43,1406,Villa,Palm Jumeirah,2,4,2000000,697,TRUE,104,1,TRUE,,
user_7,session_8,14-01-24 06:23,1144,Townhouse,JLT,1,1,1600000,697,TRUE,552,2,FALSE,,
user_8,session_9,14-04-24 02:21,1868,Villa,Dubai Hills Estate,3,1,3000000,490,FALSE,0,0,FALSE,,
user_15,session_50,12-03-24 18:17,1302,Townhouse,JLT,1,4,1600000,850,TRUE,263,2,TRUE,,
user_5,session_24,22-05-24 02:02,1931,Apartment,Palm Jumeirah,4,3,970000,400,FALSE,0,0,FALSE,,
user_10,session_17,14-01-24 21:21,1167,Apartment,JLT,3,3,3000000,400,FALSE,0,0,FALSE,,
user_16,session_14,27-05-24 10:34,1926,Townhouse,Dubai Hills Estate,4,1,1100000,1200,TRUE,53,1,TRUE,,
user_1,session_30,18-06-24 02:47,1578,Apartment,Palm Jumeirah,3,1,970000,490,TRUE,112,4,TRUE,,
user_12,session_38,12-06-24 00:07,1258,Townhouse,Dubai Hills Estate,1,4,2000000,400,TRUE,299,2,FALSE,,
user_18,session_17,13-06-24 22:14,1552,Villa,JLT,2,3,1100000,490,TRUE,303,3,TRUE,,
user_16,session_25,21-03-24 03:36,1091,Townhouse,Palm Jumeirah,2,3,970000,850,FALSE,0,0,FALSE,,
user_8,session_40,29-02-24 11:06,1410,Townhouse,Business Bay,4,2,2000000,490,FALSE,0,0,FALSE,,
user_2,session_32,22-01-24 05:59,1949,Townhouse,Business Bay,1,2,970000,850,FALSE,0,0,FALSE,,
user_6,session_32,03-06-24 22:01,1893,Townhouse,Palm Jumeirah,4,2,970000,697,FALSE,0,0,FALSE,,
user_16,session_47,11-06-24 07:34,1596,Villa,JLT,3,4,2000000,400,TRUE,304,1,TRUE,,
user_16,session_25,13-04-24 10:37,1143,Villa,JLT,3,2,2000000,697,FALSE,0,0,FALSE,,
user_11,session_11,04-04-24 09:51,1541,Apartment,Downtown Dubai,1,4,1100000,490,TRUE,114,4,TRUE,,
user_15,session_32,05-03-24 00:34,1109,Villa,Business Bay,4,1,3000000,697,TRUE,272,4,TRUE,,
user_18,session_21,12-02-24 10:32,1504,Villa,Dubai Hills Estate,3,4,2000000,697,TRUE,540,4,TRUE,,
user_3,session_45,06-03-24 06:51,1804,Apartment,Palm Jumeirah,4,3,1100000,697,TRUE,47,3,TRUE,,
user_5,session_1,25-05-24 15:51,1265,Villa,Downtown Dubai,1,4,970000,490,TRUE,485,3,FALSE,,
user_18,session_28,03-02-24 16:42,1682,Apartment,Downtown Dubai,2,2,3000000,400,TRUE,528,3,TRUE,,
user_11,session_46,18-04-24 06:20,1432,Townhouse,Dubai Hills Estate,2,3,2000000,490,TRUE,490,3,TRUE,,
user_1,session_3,23-02-24 08:14,1759,Apartment,Dubai Hills Estate,4,1,1100000,1200,FALSE,0,0,FALSE,,
user_10,session_30,14-02-24 08:05,1806,Apartment,JLT,2,2,2000000,697,TRUE,547,2,TRUE,,
user_18,session_31,26-05-24 13:24,1467,Townhouse,JLT,4,3,1100000,697,TRUE,136,2,TRUE,,
user_13,session_26,20-04-24 06:10,1420,Townhouse,JLT,1,4,2000000,697,FALSE,0,0,FALSE,,
user_11,session_38,11-02-24 00:31,1610,Townhouse,Dubai Hills Estate,4,1,970000,697,TRUE,441,3,FALSE,,
user_16,session_36,10-05-24 00:44,1020,Villa,Downtown Dubai,3,4,3000000,697,FALSE,0,0,FALSE,,
user_15,session_2,17-06-24 07:54,1583,Townhouse,JLT,3,2,970000,400,TRUE,339,3,TRUE,,
user_16,session_47,08-01-24 14:43,1700,Villa,JLT,3,3,970000,1200,TRUE,119,1,TRUE,,
user_7,session_16,19-03-24 04:25,1378,Villa,JLT,3,1,970000,400,FALSE,0,0,FALSE,,
user_2,session_17,20-03-24 05:43,1182,Townhouse,Dubai Hills Estate,1,2,3000000,697,TRUE,422,2,TRUE,,
